"Agathidinae_sp"	"Ahasverus_advena_Waltle"	"Allograpta_nasuta_Marquart"	"Apis_mellifera_Linnaeus"	"Atherigona_orientalis_Schiner"	"Brachymyrmex_sp"	"Calopsilia_florella_Fabricius"	"Campopleginae_sp_1"	"Cerambycidae_sp_1"	"Cerambycidae_sp_2"	"Cerambycidae_sp_3"	"Ceratitis_roas_Karsch"	"Chaetocnema_sp_1"	"Cheloninae_sp_1"	"Cheloninae_sp_3"	"Chrysomya_megacephala_Fabricius"	"Cixiidae_sp_1"	"Cixiidae_sp_2"	"Cotesia_sp1"	"Cratopus_psittacus_Faimaire"	"Cryptocephalinae_sp_1"	"Dasytinae_sp_1"	"Dioxyna_sororcula_Wiedemann"	"Diptera_sp_2"	"Diptera_sp_3"	"Dysauxes_florida_Joan."	"Episyrphus_sp._near_circularis_Hull"	"Eristalinus_flaveolus_Bigot"	"Eumolpinae_sp_2"	"Eumolpinae_sp_3"	"Eurytonidae_sp_1"	"Fannia_pusio_Wiedemann"	"Gelechioidea_sp_1"	"Gelechioidea_sp_2"	"Gelechioidea_sp_3"	"Goniurellia_or_Dectodes_sp"	"Graphomya_maculata_Scopoli"	"Henotesia_narcissus_Fabricius"	"Hippotion_eson_Cramer"	"Homoneura_sp_2"	"Homoneura_sp_3"	"Hydrotaea_fuliginosa_Robineau-Desvoidy"	"Ischiodon_aegyptius_Wiedemann"	"Lecithoceridae_sp_1"	"Leptotes_pirithous_Linnaeus"	"Limnophora_quaterna_Loew"	"Lygaeidae_sp_2"	"Lygaeidae_sp_3"	"Lygaeidae_sp_5"	"Lygistorrhina_sp"	"Macroglossum_milvus_Boisduval"	"Mauritiborium_undulatus"	"Melanagromyza_sojae_Zehntner"	"Melanostoma_annulipes_Macquart"	"Melanostoma_bituberculatum_Loew"	"Miridae_sp_1"	"Mordellidae_sp_1"	"Mordellidae_sp_2"	"Mordellidae_sp_3"	"Musca_confiscata_Speiser"	"Musca_domestica_Linnaeus"	"Nacoleia_sp_1"	"Nacoleia_sp_2"	"Nitidulidae_sp_1"	"Nyctemera_insulare_Boisduval"	"Ophyra_capensis_Wiedemann"	"Orchisia_costata_Meigen"	"Ornidia_obesa_Fabricius"	"Orthellia_albigena_Stein"	"Pachycerina_crinicornis_Thomson"	"Palexorista_sp_1"	"Panara_naso_Fabricius"	"Paragus_borbonicus_Macquart"	"Pelecophora_intemipta_All"	"Phalanta_phalantha_Drury"	"Pheidole_megacephala_Fabricius"	"Phelsuma_cepediana_Merrem"	"Phorinia_sp"	"Polistes_hebraeus_Fabricius"	"Psyllidae_sp_2"	"Sapromyza_sp._near_nudiuscula_Lamb."	"Sarcophaga_arno_Curran"	"Scatopsidae_sp"	"Scirtidae_sp_1"	"Scirtidae_sp_2"	"Scolia_carniflex_Coquillett"	"Scopariinae_sp"	"Simulium_(Byssodon)_sp_2"	"Siphona_sp"	"Stomorhina_lunata_Fabricius"	"Stomoxys_calcitrans_Linnaeus"	"Stomoxys_niger_Macquart"	"Syritta_bulbus_Walker"	"Syritta_nigrofemorata_Macquart"	"Syritta_sp._(near_abyssinica_Rondani)"	"Technomyrmex_albipes_Smith"	"Thelairodrino_sp"	"Thysanoplusia_orichalcea_Fabricius"	"Villa_unifasciata_Macquart"	"Zosterops_mauritianus_Gmelin"
"Coffea_macrocarpa"	0	0	0	0	0	0.2	0	0	0	0	0	0	0.153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153846154	0	0	0	0
"Coffea_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cordemoya_integrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	1.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
"Croton_fothergillifolius"	0	0.333333333	0.163333333	0.1	0	0	0	0	0	0.133333333	0	0	9.094722477	0	0	0.192156863	0	0	0	0	0	0	0.35	0	0	0.466666667	0	0	0.166666667	0	0	0.133333333	0.083333333	0.909502262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.130952381	0	0	0	0.152631579	0	0	0	0	0	0	0.392442645	0.797712418	0.133333333	0	0	0	0	0	0	0.933333333	0	0.058823529	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0.1	0	0.04	0	0	0.843715435	0.383333333	0	0	0.226190476	0	3.504761905	0.1	0	0.6	0
"Croton_grangeroides"	0	0	0	0.028571429	0	0	0	0	0	0	0	0	6.254112554	0	0	0.316369293	0	0	0	0	0	0	0	0	0	1.639963545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677339901	0.034482759	0	0	0	0	0	0	0	0	0	0	0.105263158	0	0	0	0	0	0	0	0.181818182	0.028571429	0	0	0	0	0	0	0	0.028571429	0.028571429	0	0	0	0.177339901	0	0	0	0	0
"Diospyros_revaughanii"	0	0	0	4.722222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dodonaea_viscosa"	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0.173913043	0	0	0.066666667	0	0	0	0	0.533333333	0.013333333	0	0	0.2	0	0	0	0	0.013333333	0	0	0	0	0.013333333	0	0	0.02739726	0	0	0	0	0	0	0	0	0	0.04	0	0.133333333	0	0.086956522	0	0	0	0	0	0	0.226666667	0	0	0	0	0	0.04	0	0	0.357723577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221461187	0.08	0.04	0	0	0	0.024390244	0	0	0	0
"Doratoxylon_apetalum_var_diphyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0	0	0	0	0	0
"Dracaena_reflexa_var_angustifolia"	0	0	0.3	0.5	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0.05	0.05	0.033333333	0	0	0	0	0	0	0	0	0	0.016666667	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.016666667	0	0	0	0	0	0	0	0.066666667	0	0	0	0	0	0	0	0.033333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0.016666667	0	0	0	0	0	0	0	0
"Embelia_angustifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068965517	0	0	0	0	0.072727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081818182	0	0	0	0	0	0	0	0	0	0	0	0.081818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072727273	0	0	0	0	0.036363636	0	0	0	0	0
"Erythroxylum_macrocarpum"	0	0	0.641269841	0.2	0	0	0.222222222	0	0	0	0	0	6.974603175	0	0	0	0	0	0	0	0	0	0	0	0	1.217094017	0.619047619	0.222222222	0	0.133333333	0	0	0	0.857142857	0.111111111	0	0	0	0	0	0	0	0.285714286	0	0	0	0	0	0	2.822222222	0	0.666666667	0	1.066666667	0.266666667	0	0	0	0	0	1.2	0.333333333	0	0	0	1	0	0.285714286	0	0.285714286	0	0.125	0	0	0	0	0	0.125	0	0.2	0	0	0.222222222	0	0	0	0	0	0	1.359126984	1.095238095	0.428571429	0	0	0	1	0	0	0.125	0
"Eugenia_orbiculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Euodia_chapelieri_var_chapelieri"	0	0	0	0	0	0	0	0	0	0	0	0	0.902020202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Euodia_obtusifolia_ssp_gigas_var_gigas"	0	0	0	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Faujasiopsis_flexuosa_ssp_erecta"	0	0	0	1.111111111	0	0	0	0	0	0	0	0	1.436825397	0	0	0	0	0	0	0	0	0	0	0	0	4.554761905	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.885714286	0	0	0	0	0	0	0	0	0	0	0	0.066666667	0	0	0	0	0	0.222222222	0	0.866666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.866666667	0	0	0	0	0	0	0	0	0	0
"Flagellaria_indica"	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gaertnera_psychotrioides/edentata"	0	0.181818182	0.422222222	1.752020202	0	0	0	0	0	0	0	0	1.365079365	0	0	0.722222222	0	0	0	0	0	0	0	0	0	0	0.547222222	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	4.213347763	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0.422222222	0	0	0	0	0	0	0	0	0	0	0.1	0.222222222	0	0	0	0	0	0	0.142857143	0.522222222	0
"Gaertnera_rotundifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Grangeria_borbonica"	0	0.166666667	0.166666667	2.687950089	0	0	0	0	0	0	0	0	1.995238095	0	0	0.02	0	0	0	0	0	0	0	0	0	1.366666667	0	0.166666667	0	0.228571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0.171428571	0.117647059	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0.133333333	0	0	0	0
"Harungana_madagascariensis"	0	0	0	0	0	0.4	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0
"Helichrysum_proteoides"	0	0	0	0.125	0	0	0	0	0	0	0	0	0.761904762	0	0	0.257738095	0	0	0	0	0	0	0	0	0	0.483333333	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273809524	0	0	0	0	0	0	0.0625	0	0.145833333	0	0.0625	0	0	0	0	0	0	0.1875	0	0	0.2	0	0	0	0	0	0	0	0.0625	0	0	0	0.1875	0	0	0	0	0	0
"Homalanthus_populifolius"	0	0	0.740909091	0	0	0	0	0	0	0	0	0	13.58227968	0	0	0	0.5	0	0.25	0	0	0	0.25	0	0	0	0.35	0	0	0	0	4.503103753	0	0	0	0	0	0	0	0	0	0.133333333	0	0	0	0	0	0	0	0	0	0.081081081	0	0.727027027	0	0	0	0	0	0	1.238095238	0.027027027	0	0	0	0	0	0	0	1.533333333	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869176319	0	0.238095238	0	0	0	2	0	0	0.090909091	0
"Labourdonnaisia_callophylloides"	0	0	0	6.741197691	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0.111111111	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Molinaea_alternifolia"	0.133333333	0	0.28	2.498095238	0	0	0	0	0	0	0	0	2.046666667	0	0	0.5	0	0	0	0	0	0	0	0	0	0.266666667	0.2	0.2	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0.2	0	0.24	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0.386666667	0	0	0	0	1.062857143	0	0	0	0	0	0	0	0.173333333	0	0	0	0	1.231036415	0	0	0	0	0	0	0	0	0	0	1.434798535	0	0	0	0.066666667	0	0.333333333	0	0	0	0
"Molinaea_macrantha"	0	0	0.142857143	0	0	1.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.865079365	0	0	0	0
"Myonima_violacea_var_ovata"	0	0	0.111111111	1.439242424	0	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	3.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.057142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0.2	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.32	0.2	0	0	0	0	1.622222222	0	0	0	0
"Ochna_mauritiana"	0	0	0.3	1.752587992	0	0	0	0.173913043	0	0	0	0	5.807246377	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233333333	0	0	0	0	0	0	0	0	0	0	0.166666667	0.266666667	0	0	0	0	0	0.166666667	0.444444444	0	0	0	0	0	0	0	0.191666667	0	0.025	0	0	0	0	0	0	0.551190476	0	0	0.025	0	0	0	0	0	0	0	0.861413043	0	0	0	0.133333333	0	0	0	0	0	0
"Olea_lancea"	0	0	0.5	0.074074074	0	0	0	0	0	0	0	0	5.034025234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074074074	0	0	0	0	0	0	0	0	0.581818182	0
"Phyllanthus_phillyreifolius_var_telfairianus"	0	0	0	0	0	0	0	0	0	0	0	0	0.281182796	0.322222222	0	0	0	0	0	0	0	0	0	0	0	0.114516129	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.2	0	0	0	0	0	0	0.166666667	0	0	0.545454545	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.364516129	0	0	0	0
"Psathura_terniflora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
"Psiadia_terebinthina"	0	0.031746032	0.277777778	1.00952381	0	3.596491228	0	0	0.163101604	0	0	0.333333333	2.740808081	0	0	0.155555556	0	0	0	0	0	0	1.098701299	0	0	2.871645022	0.022222222	0	0	0	0	0	0	0.052631579	0	0.281818182	0	0	0	0	0	0	0	0.333333333	0.1	0	0	0	2.157142857	0.433333333	0	0.242857143	0	0.428571429	0.08	0.031746032	0.071428571	0	0	0	0.08	1.3	0.619047619	0	0	0.333333333	0.333333333	0.05	0	0.826190476	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057142857	0	0	0	3.312214583	0.848484848	0.928571429	0.4	0.233333333	0	0.058823529	0	0	0.863492063	0
"Psidium_cattleianum"	0	0	1.05	1.8	0	0	0	0	0	0	0	0	5.480952381	0	0	0.5	0	0	0	0	0	0	0.2	0	0	0	0	0.952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.685714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0.722222222	0	0	0	0	0	0	0	0	3.2	0
"Rubus_alcefolius"	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.583333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
