"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Calamagrostis_epigejos"	"Calamagrostis_canescens"	"Elymus_repens"	"Agrostis_capillaris"	"Corynephorus_canescens"	"Holcus_lanatus"	"Phragmites_australis"	"Tetramesa_fulvicollis"	"Tetramesa_sp._4"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Eurytoma_sp."	"Tetramesa_eximia"	"Tetramesa_calamagrostidis"	"Tetramesa_sp._2"	"Tetramesa_sp._1"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_sp._3"	"Tetramesa_agrostidis"	"Tetramesa_schmidti"	"Tetramesa_sp."	"Tetramesa_phragmitis"
"Tetramesa_eximia"	0	0	0.926773455377574	2.88329519450801	0.926773455377574	0	0	0	0	0	0	0	0	0.278032036613272	0.864988558352403	1.8649885583524	1.42105263157895	0.556064073226544	0.278032036613272	0	0	0	0	0	0	0
"Tetramesa_calamagrostidis"	0	0	1.57894736842105	1.57894736842105	1.57894736842105	0	0	0	0	0	0	0	0	0.473684210526316	0.473684210526316	0.473684210526316	2.42105263157895	0.947368421052631	0.473684210526316	0	0	0	0	0	0	0
"Tetramesa_sp._2"	0	0	1.90503432494279	0.926773455377574	1.90503432494279	0	0	0	0	0	0	0	0	0.571510297482837	0.278032036613272	0.278032036613272	1.42105263157895	2.14302059496567	0.571510297482838	0	0	0	0	0	0	0
"Tetramesa_sp._1"	0	0	1.28859596877841	0.926773455377574	2.52147268110718	0	0	0	0	0	0	0	0	0.386578790633522	0.278032036613272	0.278032036613272	1.42105263157895	1.14302059496568	1.75644180433215	0	0	0	0	0	0	0
"Tetramesa_linearis"	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42105263157895	1.42105263157895	1.42105263157895	0	0	0	0
"Tetramesa_hyallpennis"	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42105263157895	2.42105263157895	1.42105263157895	0	0	0	0
"Tetramesa_sp._3"	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42105263157895	1.42105263157895	2.42105263157895	0	0	0	0
"Tetramesa_agrostidis"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0
"Tetramesa_schmidti"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0
"Tetramesa_sp."	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0
"Tetramesa_phragmitis"	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684
